company_name,sector,target_segment,hq_country,hq_city,website,contact_url,signal_title,signal_summary,signal_source_url,signal_date,priority_score,offer_angle,next_action,lead_status,notes
"Manutan","B2B ecommerce","ETI and Enterprise","France","Gonesse","https://www.manutan.com","https://www.manutan.com/fr/accueil/contact","Manutan automated product data management with AI","Recent AI deployment in core catalog workflows suggests clear upskilling and change-management needs.","https://www.manutan.com/fr/accueil/presse/actualites/2025/manutan-automatise-la-gestion-de-ses-references-produits-grace-a-lia","2025-02-05","88","AI adoption academy for operations and procurement teams","Reach out with a 4-week pilot focused on catalog and workflow teams.","new","Strong fit: mid-enterprise B2B with practical AI use cases."
"Renault Group","Automotive","Enterprise","France","Boulogne-Billancourt","https://www.renaultgroup.com","https://www.renaultgroup.com/contact/","Renault Group Future Ready strategy with AI components","Enterprise-wide transformation indicates recurring needs for AI enablement at team level.","https://www.renaultgroup.com/actualites/finance/renault-group-future-ready-plan/","","84","Business-unit AI playbooks for manufacturing and support functions","Target one business unit with AI training + process redesign sprint.","new","Large account; longer sales cycle but high ACV."
"Danone","FMCG","Enterprise","France","Paris","https://www.danone.com","https://www.danone.com/contact-us.html","Danone and Microsoft partnership to scale AI","Scaling AI across a global company creates demand for practical team adoption programs.","https://www.danone.com/press-releases-list/danone-and-microsoft-join-forces-to-advance-ai-across-the-company.html","2025-06-18","86","AI enablement track for supply chain and corporate teams","Pitch adoption governance + KPI-based learning roadmap.","new","High potential if positioned with measurable business outcomes."
"Veolia","Utilities and environmental services","Enterprise","France","Aubervilliers","https://www.veolia.com","https://www.veolia.com/fr/contact","Veolia and IBM acceleration of digital transformation","Digital transformation narrative indicates ongoing AI capability rollout opportunities.","https://www.veolia.com/fr/groupe/medias/communiques-presse/veolia-ibm-acceleration-transformation-digitale","2025-02-05","83","Field-operations AI training and management coaching","Lead with operational excellence and risk-aware AI adoption modules.","new","Operationally complex org; emphasize safety and compliance."
"SNCF Group","Mobility and rail","Enterprise","France","Saint-Denis","https://www.sncf.com","https://www.sncf.com/fr/groupe/contact","SNCF communication on generative AI","Public positioning on gen AI implies internal demand for structured onboarding of teams.","https://www.sncf.com/fr/groupe/newsroom/ia-generative","2025-05-20","79","GenAI literacy plus workflow integration for transport operations","Propose pilot with support and back-office teams.","new","Public-sector style buying process; expect longer validation."
"La Poste Groupe","Postal and logistics services","Enterprise","France","Paris","https://www.lapostegroupe.com","https://www.lapostegroupe.com/fr/contactez-nous","La Poste framework for trusted AI","Trust-centered AI strategy aligns with governance and adoption training offers.","https://www.lapostegroupe.com/fr/actualite/intelligence-artificielle-confiance","","80","Responsible AI program for managerial and operational staff","Open with compliance-first AI deployment workshops.","new","Good fit for trust/governance positioning."
"Docaposte","Digital trust and IT services","Enterprise","France","Ivry-sur-Seine","https://www.docaposte.com","https://www.docaposte.com/contact","Docaposte highlights AI against fraud use cases","Applied AI use case indicates room for function-specific training and scaling support.","https://www.docaposte.com/blog/confiance-numerique/comment-lia-generative-renforce-les-solutions-fraude","","77","Use-case academy for fraud, ops, and support teams","Position as acceleration layer after first AI projects.","new","Can also become a distribution partner."
"Orange","Telecom","Enterprise","France","Issy-les-Moulineaux","https://www.orange.com","https://www.orange.com/fr/contact","Orange highlights AI and data in strategic communication","Strong AI narrative suggests continuous need to onboard non-technical teams.","https://hellofuture.orange.com/fr/ia-et-analyse-de-donnees/","2025-10-04","78","Cross-functional AI adoption for customer and network teams","Target one region or entity for a measurable pilot.","new","Large account and complex procurement."
"BNP Paribas","Banking","Enterprise","France","Paris","https://group.bnpparibas","https://group.bnpparibas/en/group/contact-us","BNP Paribas principles for responsible generative AI","Responsible AI framing matches governance + adoption offerings.","https://group.bnpparibas/en/our-commitments/responsible-business/principles-for-a-responsible-use-of-generative-ai/","","75","Risk-aware AI adoption framework for business teams","Start from compliance and productivity wins in support functions.","new","Decision cycle can be long; focus on one division."
"Societe Generale","Banking","Enterprise","France","Paris","https://www.societegenerale.com","https://www.societegenerale.com/en/contact-us","Societe Generale job posting for conversational AI data scientist","Active hiring for AI capabilities signals organizational demand for broader upskilling.","https://careers.societegenerale.com/en/job-offers/data-scientist-conversational-ai-boursorama-h-f-24000QN7-en","2025-09-18","76","AI capability uplift for customer-facing and support teams","Approach through innovation and HR learning contacts.","new","Use hiring signal as conversation opener."
